date,category,event,direction,importance,note,source
20211129,지배구조,SK스퀘어 분할 신규 상장,?,H,SK하이닉스 지배회사,대신증권 리포트 20260618
20211130,신규투자,디지털 휴먼 개발사 온마인드에 80억원 투자,+,L,,다올투자증권 리포트 20220721
20211130,신규투자,가상자산 거래소 코빗에 873억원 투자,+,M,,다올투자증권 리포트 20220721
20211130,매크로,"SKT 인적분할 후 상장, 경쟁 영향 등으로 주가 하락",-,M,SKT 디스카운트 영향,대신증권 리포트 20231116
20211227,기타,"SK스퀘어, 국내최대 農 혁신기업 ‘그린랩스’에 투자",?,L,,SK스퀘어 홈페이지 뉴스룸 20211227
20211231,실적발표,"SK스퀘어 2021년 연결 매출 1.1조원, 영업이익 4,198억원",?,L,,대신증권 리포트 20220921
20211231,실적발표,"2021년말 순차입금 100억원으로 전환 (순현금 3,900억원 대비)",-,M,순현금에서 순차입 전환,다올투자증권 리포트 20220516
20211231,실적발표,"FSK L&S 2021년 매출 3,402억원, 영업이익 149억원",?,L,,대신증권 리포트 20220921
20211231,실적발표,"SK플래닛 2021년 매출 2,806억원, 영업이익 4.9억원",?,L,,대신증권 리포트 20220921
20211231,신규투자,농업혁신기업 그린랩스에 350억원 투자,+,M,,다올투자증권 리포트 20220721
20211231,기타,상장 직후 NAV 대비 60% 할인율 형성,?,L,PO 및 지분 매각 할인율 영향,대신증권 리포트 20231116
20220101,SK하이닉스,SK하이닉스 분기별 고정배당금 440억원 지급 시작,+,M,SK스퀘어 배당수익 증가,LS증권 리포트 20221102
20220101,매크로,연초 이후 성장주 조정으로 SK스퀘어 주가 하락,-,H,성장주 조정 영향,다올투자증권 리포트 20220516
20220114,기타,2021-11 SK스퀘어의 온마인드 투자,?,L,,SK스퀘어 홈페이지 IR자료실 20220114
20220114,기타,2021-11 SK스퀘어의 코빗 투자,?,L,,SK스퀘어 홈페이지 IR자료실 20220114
20220128,자회사,매출액또는손익구조30%(대규모법인은15%)이상변경(자회사의 주요경영사항),?,M,,DART 20220128 rcpNo=20220128800013
20220128,자회사,금전대여결정(자회사의 주요경영사항)(기재정정),?,M,,DART 20220128 rcpNo=20220128800286
20220128,주주환원,현금ㆍ현물배당결정(자회사의 주요경영사항),+,H,,DART 20220128 rcpNo=20220128800003
20220128,자회사,타법인주식및출자증권취득결정(자회사의 주요경영사항),?,M,,DART 20220128 rcpNo=20220128800017
20220205,신규투자,농업혁신기업 그린랩스 지분 350억 투자,+,L,애그테크 기업,다올투자증권 리포트 20220825
20220209,자사주,주요사항보고서(자기주식처분결정),+,M,,DART 20220209 rcpNo=20220208000558
20220210,기타,재무상태표 – 2021년 11월 1일 기준,?,L,,SK스퀘어 홈페이지 IR자료실 20220210
20220319,자회사,11번가 상장 철회,-,H,,다올투자증권 리포트 20220721
20220328,기타,"SK스퀘어, 제1기 정기 주주총회 개최",?,L,,SK스퀘어 홈페이지 뉴스룸 20220328
20220331,실적발표,2021년 실적 및 1Q22 분기실적 발표,?,M,"매출, 이익 등 재무실적",다올투자증권 리포트 20220721
20220331,기타,1Q22 기준 순차입금 175억원 기록,-,L,직전 72억에서 증가,다올투자증권 리포트 20220721
20220331,자회사,SK쉴더스 IPO 하단 기준 시총으로 가치 재산정,-,M,1Q22 분기보고서 반영,다올투자증권 리포트 20220721
20220331,SK하이닉스,SK하이닉스 1분기 배당으로 SK스퀘어 2770억원 수익,+,M,1Q22 실적 반영,다올투자증권 리포트 20220721
20220412,자회사,콘텐츠웨이브 주주배정 유상증자,?,L,,다올투자증권 리포트 20220721
20220415,자회사,원스토어 유상증자 (스톡옵션),?,L,,다올투자증권 리포트 20220721
20220418,자회사,나노엔텍 지분 580억원에 매각 결정,+,M,자금 확보 및 포트폴리오 조정,대신증권 리포트 20220921
20220502,자회사,SK쉴더스 공모가 우려 및 상장 철회로 주가 하락,-,H,"주가 하락 지속, 할인율 확대",다올투자증권 리포트 20220516
20220506,기타,"SK스퀘어-SKT, 글로벌 게임사 ‘해긴’에 공동 투자",?,L,,SK스퀘어 홈페이지 뉴스룸 20220506
20220509,자회사,SK쉴더스 상장 철회 (시장 상황 악화),-,H,IPO 추진 당시 기업가치 2.8~3.5조원,SK증권 리포트 20230110
20220511,자회사,원스토어 상장 철회 (시장 상황 악화),-,H,IPO 추진 당시 기업가치 0.9~1.1조원,SK증권 리포트 20230110
20220511,자회사,원스토어 공모가 우려 및 상장 철회로 주가 하락,-,H,"주가 하락 지속, 할인율 확대",다올투자증권 리포트 20220516
20220516,실적발표,"SK스퀘어, 2022년 1분기 실적 발표",?,M,,SK스퀘어 홈페이지 뉴스룸 20220516
20220516,실적발표,"2022년 매출 5.5조원, 영업이익 2.4조원 전망",?,L,22E 실적 전망,다올투자증권 리포트 20220516
20220516,증권사리포트,다올투자증권 목표주가 61000원 제시 (매수),?,M,직전 리포트 발행,다올투자증권 리포트 20220721
20220516,증권사리포트,다올투자증권 목표주가 6.1만원으로 매수 커버리지 개시,+,H,목표할인율 63% 적용,다올투자증권 리포트 20220516
20220531,신규투자,글로벌 게임 메타버스 개발사 해긴에 250억원 투자,+,M,,다올투자증권 리포트 20220721
20220531,자회사,"티맵모빌리티, 서울공항리무진 인수",+,L,모빌리티 매출 성장 기여,대신증권 리포트 20231116
20220629,기타,"SK스퀘어, 사외이사-임직원 토크콘서트 개최",?,L,,SK스퀘어 홈페이지 뉴스룸 20220629
20220630,실적발표,"SK플래닛 2Q22 매출 642억원, 당기순손실 136억원",?,L,,대신증권 리포트 20220921
20220630,실적발표,"FSK L&S 2Q22 매출 1,330억원, 당기순이익 91억원",?,L,,대신증권 리포트 20220921
20220630,실적발표,"SK스퀘어 2Q22 연결 매출 9,504억원, 영업이익 5,093억원",?,L,,대신증권 리포트 20220921
20220721,증권사리포트,다올투자증권 목표주가 61000원 유지 (매수 유지),?,M,본 리포트 발행,다올투자증권 리포트 20220721
20220721,증권사리포트,목표할인율 60%로 하향 조정 (자산 유동화 결정 반영),+,M,,다올투자증권 리포트 20220721
20220801,자회사,11번가 상장을 위한 주관사 선정 완료 (IPO 기대감),+,M,이후 IPO 시장 위축으로 지연,SK증권 리포트 20230110
20220816,실적발표,"SK스퀘어, 2022년 2분기 실적 발표",?,M,,SK스퀘어 홈페이지 뉴스룸 20220816
20220819,자회사,십일번가 유상증자 (스톡옵션) 반영,?,L,,다올투자증권 리포트 20220721
20220822,자회사,티맵모빌리티 유상증자 (NAV 가치평가 기준),?,L,,SK증권 리포트 20240205
20220825,증권사리포트,다올투자증권 목표주가 58000원으로 하향 (매수 유지),-,M,기존 61000원,다올투자증권 리포트 20220825
20220825,증권사리포트,목표 할인율 62%로 상향 (시장 변동성 확대 반영),-,M,기존 60%,다올투자증권 리포트 20220825
20220831,자회사,티맵모빌리티 2천억원 유상증자 실시,?,M,기업가치에 반영,대신증권 리포트 20251015
20220916,자회사,티맵모빌리티 유상증자 반영,?,L,,다올투자증권 리포트 20220721
20220919,자회사,나노엔텍 지분 처분 예정 (처분금액 580억원),?,M,,다올투자증권 리포트 20220721
20220919,자회사,나노엔텍 지분 처분 예정 (580억 규모),+,L,자산유동화 전략,다올투자증권 리포트 20220825
20220921,증권사리포트,"대신증권 목표주가 58,000원으로 신규 제시 (매수)",+,M,신규 목표주가 제시,대신증권 리포트 20240517
20220921,증권사리포트,"대신증권 SK스퀘어 목표주가 58,000원으로 제시 (매수)",+,M,신규 보고서,대신증권 리포트 20220921
20221101,자회사,11번가 3Q22 사상최대 분기매출 기록 (슈팅배송),+,L,수익성 개선 지연,SK증권 리포트 20230110
20221114,실적발표,"SK스퀘어, 2022년 3분기 실적 발표",?,M,,SK스퀘어 홈페이지 뉴스룸 20221114
20221114,증권사리포트,"대신증권 목표주가 58,000원으로 유지 (매수 유지)",?,L,,대신증권 리포트 20240517
20221117,기타,"SK스퀘어, 부패방지경영시스템 국제표준 인증 획득",?,L,,SK스퀘어 홈페이지 뉴스룸 20221117
20221121,기타,"SK스퀘어 첫 투자 온마인드社, 하나은행 투자 유치",?,L,,SK스퀘어 홈페이지 뉴스룸 20221121
20221201,자회사,콘텐츠웨이브 유상증자 통해 1.2조원 기업가치 인정,+,L,추가 기업가치 상향 여지,SK증권 리포트 20230110
20230101,주주환원,2023년부터 주주환원 정책 시작,+,H,SK스퀘어 주가 신고가 형성 요인,대신증권 리포트 20240517
20230101,매크로,반도체 수요 증가에 따른 SK하이닉스 주가 상승 시작,+,H,SK스퀘어 주가 신고가 형성 요인,대신증권 리포트 20240517
20230101,주주환원,23~25년 경상 배당수입 30% 이상 및 Harvest 성과 일부 자사주 매입소각/현금배당 정책 발표,+,H,누적 금액 5.1조원,대신증권 리포트 20251015
20230101,주주환원,2023년부터 주주환원 정책 시행 시작,+,H,SK스퀘어 주가 신고가 형성,대신증권 리포트 20251015
20230101,주주환원,2023년 첫 주주환원 시작,+,M,누적 7.1천억원 주주환원,대신증권 리포트 20260428
20230101,SK하이닉스,반도체 수요 증가에 따른 SK하이닉스 주가 상승,+,M,SK스퀘어 주가 상승 견인,대신증권 리포트 20250818
20230106,매크로,삼성전자 4Q22 잠정 실적 부진 발표에도 주가 반등,+,M,반도체 업황 선반영 기대감,SK증권 리포트 20230110
20230110,증권사리포트,"SK증권 목표주가 50,000원→55,000원 상향 (매수 유지)",+,M,NAV 할인율 해소 기대,SK증권 리포트 20231121
20230110,증권사리포트,SK증권 목표주가 50000원으로 제시 (매수 제시),+,M,초기 목표주가 제시,SK증권 리포트 20230810
20230110,증권사리포트,"SK증권 목표주가 50,000원 제시 (매수 유지)",+,M,첫 목표주가 제시,SK증권 리포트 20230110
20230110,증권사리포트,"SK증권 목표주가 50,000원 제시 (매수)",+,M,,SK증권 리포트 20240205
20230110,증권사리포트,"SK증권 목표주가 50,000원으로 신규 제시 (매수)",+,M,신규 의견 제시,SK증권 리포트 20240226
20230110,증권사리포트,"SK증권 목표주가 50,000원으로 제시 (매수)",+,M,이전 리포트 대비 변경,SK증권 리포트 20230602
20230110,증권사리포트,"SK증권 목표주가 50,000원으로 제시 (매수 유지)",?,M,신규/조정 목표주가,SK증권 리포트 20230630
20230110,증권사리포트,"SK증권 목표주가 50,000원으로 신규편입 (매수)",+,H,현주가 대비 40%이상 상승여력,SK증권 리포트 20230110
20230110,증권사리포트,"SK증권 목표주가 50,000원으로 상향 (매수 유지)",+,L,이전 보고서 기록,SK증권 리포트 20230227
20230110,증권사리포트,"SK증권 목표주가 50,000원으로 시작 (매수)",+,M,신규 커버리지 시작,SK증권 리포트 20240329
20230201,SK하이닉스,SK하이닉스 4Q22 대규모 영업적자 발표,-,H,SK스퀘어 실적에 악영향,SK증권 리포트 20230227
20230223,주주환원,주주총회 소집 결의 공시 (자본준비금 감액 안건 포함),+,M,첫 주주환원 구체화 기대,SK증권 리포트 20230227
20230223,실적발표,"SK스퀘어, 2022년 연간 실적 발표",?,M,,SK스퀘어 홈페이지 뉴스룸 20230223
20230225,증권사리포트,"대신증권 목표주가 58,000원으로 유지 (매수 유지)",?,L,,대신증권 리포트 20240517
20230227,증권사리포트,"SK증권 목표주가 55,000원으로 상향 (매수 유지)",+,M,기존 50000원 → 55000원,SK증권 리포트 20230630
20230227,증권사리포트,SK증권 목표주가 55000원으로 상향 (매수 유지),+,M,기존 50000원,SK증권 리포트 20230810
20230227,증권사리포트,"SK증권 목표주가 55,000원→62,000원 상향 (매수 유지)",+,M,NAV 할인율 해소 기대,SK증권 리포트 20231121
20230227,증권사리포트,"SK증권 목표주가 55,000원 상향 (매수 유지)",+,M,"기존 50,000원",SK증권 리포트 20240205
20230227,증권사리포트,"SK증권 목표주가 55,000원으로 최초 제시 (매수)",+,M,SK증권 커버리지 개시,SK증권 리포트 20250226
20230301,자사주,1.1천억원 규모 자사주 취득 시작 및 소각 완료,+,M,주주환원 정책의 일환,대신증권 리포트 20231116
20230301,자사주,"1,100억원 규모 자기주식 취득 시작",+,M,23년 3월부터 진행,SK증권 리포트 20230602
20230301,기타,"SK스퀘어-EQT 공동경영, SK쉴더스 '글로벌 토털 시큐리티 컴퍼니'로 키운다",?,L,,SK스퀘어 홈페이지 뉴스룸 20230301
20230302,자회사,SK쉴더스 지분 성공적 매각,+,M,지분매각으로 가치 인정,SK증권 리포트 20230602
20230302,자회사,"SK쉴더스 지분 매각, NAV에 가치 반영",+,M,,SK증권 리포트 20240205
20230302,자회사,SK쉴더스 지분 매각 완료,+,M,"매각대금 8,600억원",SK증권 리포트 20230810
20230302,자사주,SK의 2000억원 규모 자기주식 소각 예정 (합병 불확실성 해소),+,H,SK스퀘어 밸류에이션 정상화 기대,SK증권 리포트 20230110
20230311,증권사리포트,"대신증권 목표주가 58,000원으로 유지 (매수 유지)",?,L,,대신증권 리포트 20240517
20230321,증권사리포트,"대신증권 목표주가 58,000원으로 유지 (매수 유지)",?,L,,대신증권 리포트 20240517
20230324,기타,"SK스퀘어 사외이사, 해외 투자유치 직접 나섰다",?,L,,SK스퀘어 홈페이지 뉴스룸 20230324
20230324,주주환원,경상 배당수입 30% 이상 주주환원 정책 발표,+,M,NAV 할인율 축소 기대,SK증권 리포트 20240329
20230330,주주환원,"SK스퀘어, 출범 후 첫 주주환원정책 발표",+,H,,SK스퀘어 홈페이지 뉴스룸 20230330
20230331,증권사리포트,"대신증권 목표주가 58,000원으로 유지 (매수 유지)",?,L,,대신증권 리포트 20240517
20230331,자사주,"1,100억원 규모 자사주 매입 시작",+,M,2023.03.31~09.29,SK증권 리포트 20260326
20230501,매크로,EU 디지털시장법(DMA) 5월 시행 예정 (애플 아이폰 서드파티 앱스토어 허용),+,M,원스토어 글로벌 진출 기회,SK증권 리포트 20230110
20230515,주주환원,주주환원 정책 및 실행 현황,+,H,,SK스퀘어 홈페이지 IR자료실 20230515
20230515,실적발표,"SK스퀘어, 2023년 1분기 실적 발표",?,M,,SK스퀘어 홈페이지 뉴스룸 20230515
20230516,기타,"SK스퀘어, 정보보호 국제표준 인증(ISO27001) 획득",?,L,,SK스퀘어 홈페이지 뉴스룸 20230516
20230516,증권사리포트,"대신증권 목표주가 58,000원으로 유지 (매수 유지)",?,L,,대신증권 리포트 20240517
20230516,증권사리포트,대신증권 목표주가 58000원 (매수) 제시,+,M,최초 제시,대신증권 리포트 20241122
20230519,자회사,콘텐츠웨이브 유상증자,?,L,NAV 산정 기준,SK증권 리포트 20240329
20230602,증권사리포트,"SK증권 목표주가 62,000원으로 상향 (매수 유지)",+,M,기존 55000원 → 62000원,SK증권 리포트 20230630
20230602,SK하이닉스,SK하이닉스 23년 대규모 적자 예상으로 SK스퀘어 실적 부진,-,H,연결 실적 부진 불가피,SK증권 리포트 20230602
20230602,증권사리포트,SK증권 목표주가 62000원으로 상향 (매수 유지),+,M,기존 55000원,SK증권 리포트 20230810
20230602,증권사리포트,"SK증권 목표주가 62,000원 상향 (매수 유지)",+,M,"기존 55,000원",SK증권 리포트 20240205
20230613,기타,"SK스퀘어, ‘22년 사회적가치 1,498억원 창출",?,L,,SK스퀘어 홈페이지 뉴스룸 20230613
20230620,증권사리포트,"대신증권 목표주가 70,000원으로 상향 (매수 유지)",+,M,"기존 58,000원",대신증권 리포트 20240517
20230621,주주환원,향후 2년 내 SK쉴더스 매각 잔금 일부 주주환원 적용 전망,+,M,매각 잔금 4.5천억원,대신증권 리포트 20230621
20230621,자사주/주주환원,SK쉴더스 매각대금 중 2천억원 7~8월 중 자사주 취득/소각 가능성,+,H,매각대금 4천억원 조기 유입,대신증권 리포트 20230621
20230621,자회사/주주환원,SK쉴더스 지분 매각 종결일 2개월 단축 공시,+,H,9/19에서 7/20으로 앞당겨짐,대신증권 리포트 20230621
20230621,증권사리포트,"대신증권, SK스퀘어 목표주가 70,000원으로 상향 (매수 유지)",+,M,기존 대비 21% 상향,대신증권 리포트 20230621
20230621,주주환원,2023년 1.1천억원 규모 자사주 매입 후 소각 진행 중,+,M,SK하이닉스 배당금 등 재원,대신증권 리포트 20230621
20230621,SK하이닉스,SK하이닉스 기업가치 상승으로 SK스퀘어 목표주가 상향,+,M,SK스퀘어 NAV의 65% 차지,대신증권 리포트 20230621
20230622,자사주,"SK스퀘어, 자사주 1063억원 소각 이사회 결의",+,H,,SK스퀘어 홈페이지 뉴스룸 20230622
20230630,자회사,SK쉴더스 유상증자 및 EQT 주식양수도 계약 체결 공시,+,H,SK쉴더스 지분 매각,SK증권 리포트 20230630
20230630,자사주,"SK쉴더스 딜 잔여현금(0.2조원), 자사주 매입 또는 신규투자 재원 활용 기대",+,M,NAV 할인율 축소 기대,SK증권 리포트 20230630
20230630,증권사리포트,"SK증권 투자의견 '매수', 목표주가 62,000원 유지",?,M,,SK증권 리포트 20230630
20230630,자회사,SK쉴더스 딜로 2조원 현금 확보 및 NAV 할인율 해소 기대,+,H,"현금확보, NAV 할인율 해소",SK증권 리포트 20230630
20230630,SK하이닉스,SK하이닉스 주가 연초 대비 52% 상승 (SK스퀘어 NAV 할인율 유지),?,M,SK스퀘어 NAV 할인율 유지 요인,SK증권 리포트 20230630
20230704,기타,"SK스퀘어-SK하이닉스, 해외 반도체 소부장 기업 투자 나선다",?,L,,SK스퀘어 홈페이지 뉴스룸 20230704
20230720,기타,"SK스퀘어, SK쉴더스 투자 유치 완료",?,L,,SK스퀘어 홈페이지 뉴스룸 20230720
20230801,자사주,2천억원 규모 자사주 매입 시작 (24.3월 완료 예정),+,M,SK쉴더스 매각 대금 활용,대신증권 리포트 20231116
20230809,자사주/주주환원,"2,000억원 규모 자기주식 취득 및 소각 결정",+,H,"NAV 대비 3.1%, 올해 두번째",SK증권 리포트 20230810
20230809,자사주,"SK스퀘어, 2000억 자사주 매입 이사회 결의",+,H,,SK스퀘어 홈페이지 뉴스룸 20230809
20230809,자사주,"2,000억원 규모 자사주 매입 시작",+,M,2023.08.09~2024.03.31,SK증권 리포트 20260326
20230810,증권사리포트,SK증권 목표주가 62000원 유지 (매수 유지),?,M,,SK증권 리포트 20230810
20230810,증권사리포트,대신증권 목표주가 70000원 (매수) 상향,+,M,기존 58000원,대신증권 리포트 20241122
20230810,증권사리포트,"대신증권 목표주가 70,000원으로 유지 (매수 유지)",?,L,,대신증권 리포트 20240517
20230814,실적발표,"SK스퀘어, 2023년 2분기 실적 발표",?,M,,SK스퀘어 홈페이지 뉴스룸 20230814
20230814,실적발표,Q2 ’23 Portfolio Update,?,M,,SK스퀘어 홈페이지 IR자료실 20230814
20230828,기타,"SK스퀘어, 글로벌 ESG 경영 기업으로 자리매김",?,L,,SK스퀘어 홈페이지 뉴스룸 20230828
20230908,자회사,"SK스퀘어, 나노엔텍 매각 완료",?,H,,SK스퀘어 홈페이지 뉴스룸 20230908
20230911,자회사,티맵모빌리티 유상증자 가치 반영 (NAV 산정 기준),?,L,NAV 산정 기준,SK증권 리포트 20250410
20230911,자회사,티맵모빌리티 유상증자,?,L,NAV 산정 기준,SK증권 리포트 20240329
20230911,자회사,자회사 티맵모빌리티 유상증자 완료 (가치 반영),+,L,NAV 산정 반영,SK증권 리포트 20250725
20230929,자사주,"1,100억원 규모 자사주 매입 완료",+,M,,SK증권 리포트 20251031
20230930,자회사,SK쉴더스 지분 일부 매각 완료,+,M,매각 가치 반영,대신증권 리포트 20251015
20230930,자회사,웨이브 순이용자 420만명 기록 (감소세),-,L,22년 이후 감소세,대신증권 리포트 20231116
20230930,자회사,11번가 순이용자 932만명 기록 (감소세),-,L,22년 후반부터 감소,대신증권 리포트 20231116
20230930,자회사,"티맵 순이용자 1,564만명 기록 (증가세)",+,L,모빌리티 부문 성장,대신증권 리포트 20231116
20230930,실적발표,"3Q23 별도기준 순차입금 5,661억원 발표",-,L,,SK증권 리포트 20240205
20231004,증권사리포트,"BNK투자증권 투자의견 '보유', 목표주가 49,000원 제시",?,M,,BNK투자증권 리포트 20240625
20231004,자사주,"SK스퀘어, 자사주 1063억원 소각 완료",+,H,,SK스퀘어 홈페이지 뉴스룸 20231004
20231017,자회사,원스토어 유상증자 가치 반영 (NAV 산정 기준),?,L,NAV 산정 기준,SK증권 리포트 20250410
20231017,자회사,자회사 원스토어 유상증자 완료 (가치 반영),+,L,NAV 산정 반영,SK증권 리포트 20250725
20231017,자회사,원스토어 유상증자,?,L,NAV 산정 기준,SK증권 리포트 20240329
20231031,자회사,"원스토어, 크래프톤으로부터 200억원 신규 투자 유치",+,M,게임 중심 GMV 상승 전망,대신증권 리포트 20231116
20231031,신규투자,크래프톤으로부터 원스토어에 200억원 유치,+,L,원스토어 기업가치 상승 요인,대신증권 리포트 20240517
20231103,증권사리포트,"BNK투자증권 투자의견 '보유', 목표주가 49,000원 유지",?,L,,BNK투자증권 리포트 20240625
20231114,실적발표,Q3 ’23 Portfolio Update,?,M,,SK스퀘어 홈페이지 IR자료실 20231114
20231115,SK하이닉스,SK하이닉스 지분가치 상승으로 NAV 2Q23 대비 +16% 증가,+,H,주당 NAV 197천원,대신증권 리포트 20231116
20231115,실적발표,"SK스퀘어, 2023년 3분기 실적 발표",?,M,,SK스퀘어 홈페이지 뉴스룸 20231115
20231116,자회사,"원스토어 매출 부진, 시장 축소에도 순이익 흑자 전환",?,L,"앤데믹 영향, 마케팅 효율화",대신증권 리포트 20231116
20231116,자회사,"11번가 3Q23 매출 감소, 누적 OPM 개선으로 적자폭 축소",?,L,아이폰 직매입 확대 영향,대신증권 리포트 20231116
20231116,실적발표,"3Q23 영업수익 405억원, OP -5.6천억원 적자 지속 발표",-,H,SK하이닉스 적자 영향,대신증권 리포트 20231116
20231116,증권사리포트,"대신증권 목표주가 70,000원으로 유지 (매수 유지)",?,L,,대신증권 리포트 20240517
20231116,SK하이닉스,SK하이닉스 손실 영향으로 지주사 적자 지속 (개선 중),-,M,4Q22 -8.2천억원에서 개선,대신증권 리포트 20231116
20231116,증권사리포트,"대신증권 목표주가 70,000원, 투자의견 매수 유지",+,M,NAV 할인율 64% 적용,대신증권 리포트 20231116
20231116,자회사,SK쉴더스 지분매각 이익으로 3Q23 순이익 4.5천억원 달성,+,M,중단영업이익 반영,대신증권 리포트 20231116
20231116,증권사리포트,"SK증권 목표주가 65,000원으로 상향 (매수 유지)",+,M,,SK증권 리포트 20251031
20231116,자회사,티맵 매출/MAU 고성장 지속 (모빌리티 부문 성장),+,L,서울공항리무진 매출 기여,대신증권 리포트 20231116
20231120,자회사,11번가 지분 매각 불발 뉴스 보도로 SK스퀘어 주가 3.1% 하락,-,H,"이사회, 추가 투자 없다는 결론",SK증권 리포트 20231121
20231120,SK하이닉스,SK하이닉스 52주 신고가 경신,+,M,자회사 가치 증가,SK증권 리포트 20231121
20231120,증권사리포트,SK스퀘어 NAV 대비 할인율 72.4% 기록 (11번가 이슈 반영),+,M,할인율 과도하다고 판단,SK증권 리포트 20231121
20231220,증권사리포트,"대신증권 목표주가 70,000원으로 유지 (매수 유지)",?,L,,대신증권 리포트 20240517
20231220,증권사리포트,대신증권 목표주가 70000원으로 상향 (매수 유지),+,M,기존 58000원,대신증권 리포트 20241204
20231231,자사주/주주환원,"2023년 3,100억원 규모 자사주 매입 및 소각 진행",+,H,"3,100억원 규모",SK증권 리포트 20250410
20231231,주주환원,2023년 3.1천억원 자사주 취득/소각 결정,+,H,2023년 총 주주환원 규모,대신증권 리포트 20240517
20240103,증권사리포트,"BNK투자증권 투자의견 '보유', 목표주가 49,000원 유지",?,L,,BNK투자증권 리포트 20240625
20240125,SK하이닉스,SK하이닉스 4Q23 영업이익 흑자전환 성공,+,M,,SK증권 리포트 20240205
20240125,SK하이닉스,SK하이닉스 2024년부터 본격 실적 턴어라운드 전망 및 배당 증가 기대,+,H,,SK증권 리포트 20240205
20240126,밸류업,"정부 '기업 밸류업 프로그램' 발표, 저 PBR 종목 주가 상승",+,H,SK스퀘어 주가 주간 18.3% 상승,SK증권 리포트 20240205
20240201,자회사,SK플래닛 6천억원 규모 유상증자 성공적 완료,?,M,재무구조 개선 및 신규 사업 투자 자금 확보,SK증권 리포트 20250226
20240205,증권사리포트,"BNK투자증권 투자의견 '매수' 상향, 목표주가 49,000원 유지",+,M,기존 '보유'에서 상향,BNK투자증권 리포트 20240625
20240205,증권사리포트,"SK증권 목표주가 74,000원으로 상향 (매수 유지)",+,M,"기존 62,000원",SK증권 리포트 20240205
20240205,증권사리포트,"SK증권 목표주가 74,000원 상향 (매수 유지)",+,M,"기존 62,000원",SK증권 리포트 20240205
20240207,실적발표,2023년 연간 실적 발표 (당기순손실 기록),-,M,"당기순손실 1조 3,150억원",SK증권 리포트 20240329
