date,skq_ret,nav_discount_pct,nav_discount_delta,category,event,direction,importance,note,source
20211231,,,,실적발표,"2021년말 순차입금 100억원으로 전환 (순현금 3,900억원 대비)",?,L,"Direction: 설립 초기 대차대조표 초기화 노력 (주가 방향성에 주는 영향 미미)
Importance: 설립 초기 대차대조표 초기화 노력 (일별 주가에 주는 영향 미미)",다올투자증권 리포트 20220516
20211231,,,,NAV 할인율,상장 직후 NAV 대비 60% 할인율 형성,?,L,"Direction: 별도 기준 본사의 일반적 사항
Importance: SK스퀘어 주가의 저평가 현황을 조명",대신증권 리포트 20231116
20220101,,,,자회사,원스토어 전환우선주 발행가액 기준 보통주 전환 반영 (NAV),?,L,"Direction: 애널리스트 레포트의 SOTP 근거
Importance: 비핵심 자회사의 자본구조 조정",현대차증권 리포트 20250508
20220117,0.51,67.2,-0.5,증권사리포트,현대차증권 목표주가 90000원 신규 제시 (매수),+,M,"Direction: 투자의견 매수, 목표주가 신규 제시
Importance: Initiation Report",현대차증권 리포트 20220117
20220117,0.51,67.2,-0.5,자회사,"원스토어 2021년 매출 2067억(YoY+33.2%), 영업손실 60억(적자지속) 전망",-,L,"Direction: 비핵심자회사의 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 비핵심자회사의 분기실적이 일별 주가에 주는 영향은 미미",현대차증권 리포트 20220117
20220117,0.51,67.2,-0.5,실적발표,"SK스퀘어 2021년 매출 3.5조원, 영업이익 13억원 전망",?,M,"Direction: 지주업 특성상 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 자회사 실적 뉴스 대비 높은 시장 관심도",현대차증권 리포트 20220117
20220128,0.36,68.3,1.4,자회사,매출액또는손익구조30%(대규모법인은15%)이상변경(자회사의 주요경영사항),+,H,"Direction: 핵심 자회사의 호실적
Importance: 핵심 자회사의 호실적",DART 20220128 rcpNo=20220128800013
20220128,0.36,68.3,1.4,자회사,금전대여결정(자회사의 주요경영사항)(기재정정),?,L,"Direction: 핵심 자회사의 일반적 사항
Importance: 핵심 자회사의 일반적 사항",DART 20220128 rcpNo=20220128800286
20220128,0.36,68.3,1.4,자회사,타법인주식및출자증권취득결정(자회사의 주요경영사항),?,M,"Direction: 핵심 자회사의 일반적 사항
Importance: 핵심 자회사의 일반적 사항",DART 20220128 rcpNo=20220128800017
20220128,0.36,68.3,1.4,자회사,현금ㆍ현물배당결정(자회사의 주요경영사항),+,H,"Direction: 핵심 자회사인 SK하이닉스의 주주환원. SK스퀘어 별도 기준 본사로 현금유입
Importance: 핵심 자회사의 주주환원",DART 20220128 rcpNo=20220128800003
20220209,2.05,66.7,-0.4,이사회,주요사항보고서(자기주식처분결정),?,L,"Direction: 기보유 자사주를 활용한 임직원 보상
Importance: 기보유 자사주를 활용한 임직원 보상",DART 20220209 rcpNo=20220208000558
20220210,-4.52,68.9,2.2,실적발표,재무상태표 – 2021년 11월 1일 기준,?,M,"Direction: 지주업 특성상 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 자회사 실적 뉴스 대비 높은 시장 관심도",SK스퀘어 홈페이지 IR자료실 20220210
20220225,3.62,67.5,-1,실적발표,Q4 ’21 Portfolio Update,?,M,"Direction: 지주업 특성상 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 자회사 실적 뉴스 대비 높은 시장 관심도",https://www.sksquare.com/kor/ir/presentation.do
20220317,2.53,70.3,0.6,실적발표,2021-Pro Forma 연결재무제표,?,M,"Direction: 지주업 특성상 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 자회사 실적 뉴스 대비 높은 시장 관심도",https://www.sksquare.com/kor/ir/presentation.do
20220319,,,,자회사,11번가 상장 철회,-,H,"Direction: 비핵심 자회사의 IPO 실패
Importance: 비핵심 자회사의 IPO 실패에 따른 별도 기준 본사의 Capital Injection 가능성에 대한 시장의 우려",다올투자증권 리포트 20220721
20220328,2.9,66.8,-0.9,이사회,"SK스퀘어, 제1기 정기 주주총회 개최",?,M,"Direction: 별도 기준 본사의 일반적인 사항
Importance: 주가 방향성에는 영향이 제한적이나 일반적인 시장의 관심은 높은편",SK스퀘어 홈페이지 뉴스룸 20220328
20220331,1.07,66.7,-1,SK하이닉스,SK하이닉스 1분기 배당으로 SK스퀘어 2770억원 수익,+,M,"Direction: 지주업 특성상 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 자회사 실적 뉴스 대비 높은 시장 관심도",다올투자증권 리포트 20220721
20220331,1.07,66.7,-1,자회사,SK쉴더스 IPO 하단 기준 시총으로 가치 재산정,-,H,"Direction: 비핵심 자회사의 IPO 흥행 참패
Importance: 잇다른 비핵심 자회사의 IPO 실패에 대한 시장의 실망감",다올투자증권 리포트 20220721
20220331,1.07,66.7,-1,Portfolio Rebalance,SK엠앤서비스 723억원에 매각 (SK스퀘어에 500억원 배당금 유입),+,M,"Direction: SK스퀘어에 현금 유입
Importance: SK스퀘어 기업 규모 대비 소규모 매각 건",대신증권 리포트 20230331
20220412,-1.25,66,0.3,자회사,콘텐츠웨이브 주주배정 유상증자,?,L,"Direction: 애널리스트 레포트의 SOTP 근거
Importance: 비핵심 자회사의 자본구조 조정",다올투자증권 리포트 20220721
20220415,-0.7,64.2,-0.3,자회사,원스토어 유상증자 (스톡옵션),?,L,"Direction: 애널리스트 레포트의 SOTP 근거
Importance: 비핵심 자회사의 자본구조 조정",다올투자증권 리포트 20220721
20220418,-2.45,65.4,1.2,Portfolio Rebalance,나노엔텍 지분 580억원에 매각 결정,+,M,"Direction: SK스퀘어에 현금 유입
Importance: SK스퀘어 기업 규모 대비 소규모 매각 건",대신증권 리포트 20220921
20220501,,,,자회사,서울공항리무진 인수 (티맵 모빌리티 자회사 편입),?,L,"Direction: 비핵심 자회사의 자본 지출
Importance: 비핵심 자회사의 자본지출",대신증권 리포트 20230516
20220502,-2.47,68.3,0.3,이사회,"자기주식 5,208주 사외이사 보수로 처분",+,L,"Direction: 이사회와 주주간 Aligned Interest
Importance: SK스퀘어 기업규모 대비 소규모",현대차증권 리포트 20250711
20220502,-2.47,68.3,0.3,자회사,SK쉴더스 공모가 우려 및 상장 철회로 주가 하락,-,H,"Direction: 비핵심 자회사의 IPO 흥행 참패
Importance: 잇다른 비핵심 자회사의 IPO 실패에 대한 시장의 실망감",다올투자증권 리포트 20220516
20220506,,69.6,,자회사,"SK쉴더스, 글로벌 긴축 및 수요예측 부진으로 증권신고서 철회(상장 연기) 단독 보도",-,H,"Direction: 비핵심 자회사의 IPO 흥행 참패
Importance: 잇다른 비핵심 자회사의 IPO 실패에 대한 시장의 실망감",https://www.sedaily.com/article/13381841
20220506,,69.6,,신규투자,"SK스퀘어-SKT, 글로벌 게임사 ‘해긴’에 공동 투자",?,L,"Direction: 핵심사업 (AI/반도체 투자)와 정합성 결여. 현금 유출
Importance: 비핵심자산 지분 취득",SK스퀘어 홈페이지 뉴스룸 20220506
20220506,,69.6,,자회사,"원스토어, 수요예측 참패 및 재무적 투자자(FI) 반대로 상장 철회 최종 결정 단독 보도",-,H,"Direction: 비핵심 자회사의 IPO 흥행 참패
Importance: 잇다른 비핵심 자회사의 IPO 실패에 대한 시장의 실망감",https://www.fnnews.com/news/202205111538089206
20220509,-5.27,71.2,1.6,자회사,SK쉴더스 상장 철회 (시장 상황 악화),-,H,"Direction: 비핵심 자회사의 IPO 흥행 참패
Importance: 잇다른 비핵심 자회사의 IPO 실패에 대한 시장의 실망감",SK증권 리포트 20230110
20220511,-3.25,72.4,1,자회사,원스토어 상장 철회 (시장 상황 악화),-,H,"Direction: 비핵심 자회사의 IPO 흥행 참패
Importance: 잇다른 비핵심 자회사의 IPO 실패에 대한 시장의 실망감",SK증권 리포트 20230110
20220516,0.45,72.5,-0.5,실적발표,"2022년 매출 5.5조원, 영업이익 2.4조원 전망",-,L,"Direction: 지주업 특성상 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 자회사 실적 뉴스 대비 높은 시장 관심도",다올투자증권 리포트 20220516
20220516,0.45,72.5,-0.5,증권사리포트,다올투자증권 목표주가 61000원 제시 (매수),+,M,"Direction: 투자의견 매수, 목표주가 신규 제시
Importance: Initiation Report",다올투자증권 리포트 20220721
20220516,0.45,72.5,-0.5,실적발표,Q1 ’22 Portfolio Update,-,L,"Direction: 지주업 특성상 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 자회사 실적 뉴스 대비 높은 시장 관심도",https://www.sksquare.com/kor/ir/presentation.do
20220516,0.45,72.5,-0.5,실적발표,"SK스퀘어, 2022년 1분기 실적 발표",-,L,"Direction: 지주업 특성상 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 자회사 실적 뉴스 대비 높은 시장 관심도",SK스퀘어 홈페이지 뉴스룸 20220516
20220601,,,,자회사,11번가 5천억원 규모 유상증자 유치 (기업가치 2.75조원),?,L,"Direction: 애널리스트 레포트의 SOTP 근거
Importance: 비핵심 자회사의 자본구조 조정",대신증권 리포트 20221115
20220629,-1.57,71.7,0.2,이사회,"자기주식 6,800주 직원 보수로 처분",+,L,"Direction: 이사회와 주주간 Aligned Interest
Importance: SK스퀘어 기업규모 대비 소규모",현대차증권 리포트 20250711
20220629,-1.57,71.7,0.2,기타,"SK스퀘어, 사외이사-임직원 토크콘서트 개최",-,L,"Direction: 설립초기 초저평가 당시 주주로부터 Negative Feedback 수취
Importance: 기업가치에 미치는 영향은 미미하나 투자 Sentiment에는 영향",SK스퀘어 홈페이지 뉴스룸 20220629
20220630,-4.17,72.2,0.5,실적발표,"SK스퀘어 2Q22 연결 매출 9,504억원, 영업이익 5,093억원",-,L,"Direction: 지주업 특성상 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 자회사 실적 뉴스 대비 높은 시장 관심도",대신증권 리포트 20220921
20220630,-4.17,72.2,0.5,자회사,"FSK L&S 2Q22 매출 1,330억원, 당기순이익 91억원",?,L,"Direction: 비핵심자회사의 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 비핵심자회사의 분기실적이 일별 주가에 주는 영향은 미미",대신증권 리포트 20220921
20220630,-4.17,72.2,0.5,자회사,"SK플래닛 2Q22 매출 642억원, 당기순손실 136억원",?,L,"Direction: 비핵심자회사의 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 비핵심자회사의 분기실적이 일별 주가에 주는 영향은 미미",대신증권 리포트 20220921
20220721,0.6,72.7,-0.1,증권사리포트,목표할인율 60%로 하향 조정 (자산 유동화 결정 반영),+,M,"Direction: 목표 NAV 할인율 하향
Importance: NAV 할인율에 근거한 Valuation",다올투자증권 리포트 20220721
20220801,-0.7,71.2,0.1,자회사,티맵모빌리티 2천억원 규모 유상증자 유치 (기업가치 2.4조원),+,M,"Direction: 비핵심자회사의 자본유치
Importance: SK스퀘어 기업 규모 대비 소규모 투자 유치 건",대신증권 리포트 20221115
20220801,-0.7,71.2,0.1,자회사,11번가 상장을 위한 주관사 선정 완료 (IPO 기대감),+,L,"Direction: 비핵심자회사의 IPO에 대한 기대감
Importance: SK스퀘어 기업 규모 대비 소규모 IPO 건, 당시 IPO 시장 수요 저조하여 기대감 낮았음",SK증권 리포트 20230110
20220816,,70.3,,실적발표,Q2 ’22 Portfolio Update,-,L,"Direction: 지주업 특성상 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 자회사 실적 뉴스 대비 높은 시장 관심도",https://www.sksquare.com/kor/ir/presentation.do
20220816,,70.3,,실적발표,"SK스퀘어, 2022년 2분기 실적 발표",-,L,"Direction: 지주업 특성상 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 자회사 실적 뉴스 대비 높은 시장 관심도",SK스퀘어 홈페이지 뉴스룸 20220816
20220819,-1.49,70.7,0.6,자회사,십일번가 유상증자 (스톡옵션) 반영,?,L,"Direction: 애널리스트 레포트의 SOTP 근거
Importance: 비핵심 자회사의 자본구조 조정",다올투자증권 리포트 20220721
20220825,1.23,71.5,-0.2,증권사리포트,다올투자증권 목표주가 58000원으로 하향 (매수 유지),-,M,"Direction: 기존 투자의견 유지, 목표주가 하향 조정
Importance: 펀더멘털 둔화를 반영한 목표주가 조정",다올투자증권 리포트 20220825
20220825,1.23,71.5,-0.2,증권사리포트,목표 할인율 62%로 상향 (시장 변동성 확대 반영),-,H,"Direction: 목표 NAV 할인율 상향
Importance: NAV 할인율에 근거한 Valuation",다올투자증권 리포트 20220825
20220921,-1.49,71.1,0.4,증권사리포트,"대신증권 SK스퀘어 목표주가 58,000원으로 제시 (매수)",+,M,"Direction: 투자의견 매수, 목표주가 신규 제시
Importance: Initiation Report",대신증권 리포트 20220921
20221026,2.63,72.8,-0.6,SK하이닉스,SK하이닉스 3Q 순이익 감소 발표,-,H,"Direction: 핵심 자회사(SK하이닉스) 가치 변동이 NAV에 직접 반영
Importance: SK스퀘어 NAV의 최대 비중을 차지하는 핵심 자산",대신증권 리포트 20221115
20221101,-0.54,72.3,0.5,자회사,11번가 3Q22 사상최대 분기매출 기록 (슈팅배송),+,L,"Direction: 비핵심자회사의 실적 개선
Importance: 개별 자회사 영향은 제한적이나 누적 시 NAV·투자심리에 긍정적",SK증권 리포트 20230110
20221114,-0.74,71.1,-0.4,증권사리포트,"대신증권 목표주가 58,000원으로 유지 (매수 유지)",?,L,"Direction: 투자의견 및 목표주가 유지
Importance: 투자의견 및 목표주가 유지",대신증권 리포트 20240517
20221114,-0.74,71.1,-0.4,실적발표,Q3 ’22 Portfolio Update,-,L,"Direction: 지주업 특성상 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 자회사 실적 뉴스 대비 높은 시장 관심도",https://www.sksquare.com/kor/ir/presentation.do
20221114,-0.74,71.1,-0.4,실적발표,"SK스퀘어, 2022년 3분기 실적 발표",-,L,"Direction: 지주업 특성상 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 자회사 실적 뉴스 대비 높은 시장 관심도",SK스퀘어 홈페이지 뉴스룸 20221114
20221115,-1.11,71.6,0.5,실적발표,"3Q NAV 19.7조원, 주당 13.9만원으로 2Q 대비 3% 하락",-,H,"Direction: NAV 하락
Importance: 주력 자회사인 SK하이닉스의 실적 저조",대신증권 리포트 20221115
20221115,-1.11,71.6,0.5,증권사리포트,"대신증권 목표주가 58,000원 제시 (매수 유지)",?,L,"Direction: 투자의견 및 목표주가 유지
Importance: 투자의견 및 목표주가 유지",대신증권 리포트 20221115
20221115,-1.11,71.6,0.5,증권사리포트,"대신증권, 2022F/2023F 실적 전망치 하향 조정",-,H,"Direction: 기존 투자의견 유지, 실적 전망치 및 목표주가 하향 조정
Importance: 펀더멘털 둔화를 반영한 목표주가 조정",대신증권 리포트 20221115
20221115,-1.11,71.6,0.5,NAV 할인율,"NAV 할인율 73% 수준, 상장 후 최대치 75%에 근접",-,H,"Direction: 가장 중요한 지표인 NAV 할인율의 증가 조명
Importance: SK스퀘어 주가의 저평가 현황을 조명",대신증권 리포트 20221115
20221115,-1.11,71.6,0.5,자회사,자회사 IPO 연기로 NAV 할인율 70% 상회,-,H,"Direction: 애널리스트 레포트의 SOTP 근거
Importance: 비핵심 자회사의 IPO 흥행참패",대신증권 리포트 20221115
20221115,-1.11,71.6,0.5,자회사,"티맵모빌리티 3Q 매출 584억원(+52% yoy), MAU 역대 최고",+,L,"Direction: 비핵심자산의 재무지표
Importance: 비핵심자산의 비재무지표 상승",대신증권 리포트 20221115
20221115,-1.11,71.6,0.5,자회사,"11번가, 아이폰14 등 애플 제품 입점 확대 및 아마존 협업 강화",?,L,"Direction: 비핵심자회사의 사업 진행 상황
Importance: 일별 주가 방향성에 미치는 영향은 제한적",대신증권 리포트 20221115
20221115,-1.11,71.6,0.5,실적발표,"3Q22 실적 발표: 영업수익 1.2조원, 영업이익 1,732억원",-,L,"Direction: 지주업 특성상 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 자회사 실적 뉴스 대비 높은 시장 관심도",대신증권 리포트 20221115
20221117,-3.09,71.3,0,ESG,"SK스퀘어, 부패방지경영시스템 국제표준 인증 획득",?,L,"Direction: ESG 인증·성과가 주가 방향성에 미치는 영향은 제한적
Importance: 기업 이미지 제고 효과는 있으나 일별 주가 영향은 미미",SK스퀘어 홈페이지 뉴스룸 20221117
20221121,-3.25,72.4,0.4,자회사,"SK스퀘어 첫 투자 온마인드社, 하나은행 투자 유치",?,L,"Direction: 비핵심자회사의 자본유치
Importance: 주주환원 재원 및 NAV 할인율 축소 기대 요인",SK스퀘어 홈페이지 뉴스룸 20221121
20221201,0.13,71.9,-0.1,자회사,콘텐츠웨이브 유상증자 통해 1.2조원 기업가치 인정,-,L,"Direction: SK스퀘어의 현금 유출
Importance: SK스퀘어 기업규모 대비 미미한 수준",SK증권 리포트 20230110
20221231,,,,자회사,T맵 모빌리티 2022년 매출 2.1천억원(+178% YoY) 달성,+,L,"Direction: 비핵심자회사의 실적 개선
Importance: 개별 자회사 영향은 제한적이나 누적 시 NAV·투자심리에 긍정적",대신증권 리포트 20230227
20221231,,,,자회사,11번가 2022년 매출 7.9천억원(+41% YoY)으로 역대 최대 달성,+,L,"Direction: 비핵심자회사의 실적 개선
Importance: 개별 자회사 영향은 제한적이나 누적 시 NAV·투자심리에 긍정적",대신증권 리포트 20230227
20221231,,,,실적발표,"SK스퀘어 2022년 매출 45.1조, 영업이익 1.6조, 지배순이익 2.3천억원",?,M,"Direction: SK하이닉스 지분법이익 반영에 따른 연결실적 변동
Importance: 지주회사 특성상 실적 자체보다 SK하이닉스 실적에 후행하는 결과",대신증권 리포트 20230227
20221231,,,,자회사,"FSK 2022년 매출 5천억원(+65% YoY), OP 240억원(+61% YoY) 달성",+,L,"Direction: 비핵심자회사의 실적 개선
Importance: 개별 자회사 영향은 제한적이나 누적 시 NAV·투자심리에 긍정적",대신증권 리포트 20230227
20230101,,,,SK하이닉스,반도체 수요 증가에 따른 SK하이닉스 주가 상승,+,H,"Direction: 핵심 자회사(SK하이닉스) 가치 변동이 NAV에 직접 반영
Importance: SK스퀘어 NAV의 최대 비중을 차지하는 핵심 자산",대신증권 리포트 20250818
20230106,1.95,74.1,-0.2,반도체,삼성전자 4Q22 잠정 실적 부진 발표에도 주가 반등,+,M,"Direction: 반도체 업황 전반에 대한 투자심리 개선
Importance: SK하이닉스를 통한 간접 영향",SK증권 리포트 20230110
20230110,1.01,74,-0.2,증권사리포트,"SK증권 목표주가 50,000원으로 제시 (매수)",+,M,"Direction: 투자의견 매수, 목표주가 신규 제시
Importance: Initiation Report",SK증권 리포트 20230602
20230201,1.93,73.8,0.1,SK하이닉스,SK하이닉스 4Q22 대규모 영업적자 발표,-,H,"Direction: 핵심 자회사(SK하이닉스) 가치 변동이 NAV에 직접 반영
Importance: SK스퀘어 NAV의 최대 비중을 차지하는 핵심 자산",SK증권 리포트 20230227
20230213,-1.75,73.9,-0.1,주주환원,"자기주식 65,790주 상여로 처분",?,L,"Direction: 핵심 주주환원 정책 (자사주 매입·소각)
Importance: NAV 할인율 축소를 위한 대표적 주주환원 수단",현대차증권 리포트 20250711
20230214,1.23,74.1,0.2,실적발표,"4Q22 영업수익 4.2천억원(-66% QoQ), 영업이익 -8.9천억원(적전) 기록",-,H,"Direction: SK하이닉스 지분법이익 반영에 따른 연결실적 변동
Importance: 지주회사 특성상 실적 자체보다 SK하이닉스 실적에 후행하는 결과",대신증권 리포트 20230227
20230223,3.42,73.4,-0.1,주주환원,주주총회 소집 결의 공시 (자본준비금 감액 안건 포함),+,M,"Direction: 핵심 주주환원 정책 (자사주 매입·소각)
Importance: NAV 할인율 축소를 위한 대표적 주주환원 수단",SK증권 리포트 20230227
20230223,3.42,73.4,-0.1,실적발표,Q4 ’22 Portfolio Update,?,L,"Direction: SK하이닉스 지분법이익 반영에 따른 연결실적 변동
Importance: 지주회사 특성상 실적 자체보다 SK하이닉스 실적에 후행하는 결과",https://www.sksquare.com/kor/ir/presentation.do
20230223,3.42,73.4,-0.1,실적발표,"SK스퀘어, 2022년 연간 실적 발표",?,M,"Direction: SK하이닉스 지분법이익 반영에 따른 연결실적 변동
Importance: 지주회사 특성상 실적 자체보다 SK하이닉스 실적에 후행하는 결과",SK스퀘어 홈페이지 뉴스룸 20230223
20230226,,,,SK하이닉스,SK하이닉스 지분가치 2.3조원 상승으로 SK스퀘어 NAV 13% 증가,+,H,"Direction: 핵심 자회사(SK하이닉스) 가치 변동이 NAV에 직접 반영
Importance: SK스퀘어 NAV의 최대 비중을 차지하는 핵심 자산",대신증권 리포트 20230227
20230227,-1.53,72.2,0.2,자회사,11번가 2022년 역대 최대 매출 달성에도 OP 적자 지속,?,M,"Direction: 비핵심자회사의 실적 개선
Importance: 개별 자회사 영향은 제한적이나 누적 시 NAV·투자심리에 긍정적",대신증권 리포트 20230227
20230227,-1.53,72.2,0.2,증권사리포트,"SK증권 목표주가 55,000원 상향 (매수 유지)",+,M,"Direction: 기존 투자의견 유지, 목표주가 상향 조정
Importance: 펀더멘털 개선을 반영한 목표주가 조정",SK증권 리포트 20240205
20230227,-1.53,72.2,0.2,실적발표,"2022년 연간 매출액 45.1조, 영업이익 1.6조, 지배순이익 2363억원 달성",?,H,"Direction: SK하이닉스 지분법이익 반영에 따른 연결실적 변동
Importance: 지주회사 특성상 실적 자체보다 SK하이닉스 실적에 후행하는 결과",대신증권 리포트 20230227
20230227,-1.53,72.2,0.2,자회사,"FSK 2022년 매출액 5천억원(+65% yoy), OP 240억원(+61% yoy) 달성",+,M,"Direction: 비핵심자회사의 실적 개선
Importance: 개별 자회사 영향은 제한적이나 누적 시 NAV·투자심리에 긍정적",대신증권 리포트 20230227
20230227,-1.53,72.2,0.2,실적발표,"4Q22 영업수익 4.2천억(-66% qoq), 영업이익 -8.9천억(적자전환)",-,H,"Direction: SK하이닉스 지분법이익 반영에 따른 연결실적 변동
Importance: 지주회사 특성상 실적 자체보다 SK하이닉스 실적에 후행하는 결과",대신증권 리포트 20230227
20230227,-1.53,72.2,0.2,자회사,T맵모빌리티 2022년 매출액 2.1천억원 달성(+178% yoy)했으나 OP 적자 지속,+,L,"Direction: 비핵심자회사의 실적 개선
Importance: 개별 자회사 영향은 제한적이나 누적 시 NAV·투자심리에 긍정적",대신증권 리포트 20230227
20230227,-1.53,72.2,0.2,자회사,자회사 IPO 연기 영향으로 NAV 할인율 70% 상회,-,M,"Direction: 애널리스트 레포트의 SOTP 근거
Importance: 비핵심 자회사의 자본구조 조정",대신증권 리포트 20230227
20230227,-1.53,72.2,0.2,증권사리포트,"SK증권 목표주가 55,000원으로 최초 제시 (매수)",+,M,"Direction: 투자의견 매수, 목표주가 신규 제시
Importance: Initiation Report",SK증권 리포트 20250226
20230227,-1.53,72.2,0.2,증권사리포트,"대신증권 투자의견 매수, 목표주가 58,000원 유지",+,M,"Direction: 투자의견 및 목표주가 유지
Importance: 투자의견 및 목표주가 유지",대신증권 리포트 20230227
20230227,-1.53,72.2,0.2,NAV 할인율,NAV 할인율 74%로 상장 후 최대 수준 근접 (저평가),+,M,"Direction: 별도 기준 본사의 일반적 사항
Importance: SK스퀘어 주가의 저평가 현황을 조명",대신증권 리포트 20230227
20230228,-0.9,72.3,0.1,Harvest,SK쉴더스 지분 매각 공시 (EQT Partners),+,H,"Direction: 비핵심 자회사 매각을 통한 확정 이익(Profit) 실현 (Harvest)
Importance: 주주환원 재원 확보 및 NAV 할인율 축소 기대",대신증권 리포트 20230516
20230301,,,,주주환원,"1,100억원 규모 자기주식 취득 시작",+,M,"Direction: 핵심 주주환원 정책 (자사주 매입·소각)
Importance: NAV 할인율 축소를 위한 대표적 주주환원 수단",SK증권 리포트 20230602
20230301,,,,Harvest,"SK스퀘어-EQT 공동경영, SK쉴더스 '글로벌 토털 시큐리티 컴퍼니'로 키운다",?,L,"Direction: 비핵심 자회사 매각을 통한 확정 이익(Profit) 실현 (Harvest)
Importance: 주주환원 재원 확보 및 NAV 할인율 축소 기대",SK스퀘어 홈페이지 뉴스룸 20230301
